zip,year,month,count
10001,2006,10,1
11375,2013,9,1
11215,2013,7,1
10453,2010,5,6
11436,2008,12,1
11429,2006,5,1
10027,2006,5,3
10468,2006,12,4
11435,2011,2,5
10467,2007,3,4
10031,2009,1,6
11369,2008,9,1
10460,2012,3,2
11207,2014,5,6
10025,2005,5,1
10459,2007,4,7
11422,2009,3,1
10310,2012,3,1
11429,2011,12,1
11434,2014,4,3
10027,2011,12,2
10468,2011,5,6
11434,2005,6,1
11221,2012,8,7
11420,2008,2,1
10029,2011,11,1
10031,2006,7,1
11368,2013,6,5
10026,2010,2,3
11360,2012,7,1
11238,2012,1,1
10032,2006,2,2
10029,2010,4,2
10467,2012,6,7
10010,2010,8,1
11434,2012,2,6
10452,2013,4,2
10472,2005,7,1
11211,2006,11,1
10035,2008,9,2
10002,2006,9,1
11225,2007,7,4
10044,2007,7,2
